PCR Array Catalog #:		PAMM-032ZA-24  																												
						AVG Delta(Ct)  (Ct(GOI) - Ave Ct(HKG))					Standard Deviation					2^(-Avg.(Delta(Ct))														
B05	Mm.402384	NM_013715	Cops5	"COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)"	AI303502/CSN5/Jab1/Mov34/Sgn5	-0.03	0.16	0.95	0.83	0.93	0.801041	0.389910	0.455375	0.204939	0.282489	1.021012	0.892547	0.519430	0.562529	0.524858										
B06	Mm.359633	NM_008906	Ctsa	Cathepsin A	AU019505/PPCA/Ppgb	-1.64	-1.02	-1.66	-1.72	-1.97	0.809007	0.274627	0.189275	0.079320	0.762496	3.111262	2.030732	3.154694	3.300078	3.917681										
B07	Mm.21697	NM_029083	Ddit4	DNA-damage-inducible transcript 4	5830413E08Rik/AA415483/REDD1/Rtp801/dig2	-0.82	0.12	-0.86	0.09	0.11	0.885602	0.301828	0.884345	0.123558	0.122304	1.762349	0.920188	1.815038	0.939523	0.928195										
B08	Mm.140761	NM_016775	Dnajc5	"DnaJ (Hsp40) homolog, subfamily C, member 5"	2610314I24Rik/AU018536/Csp	-0.97	-0.38	-0.02	-0.09	-0.50	0.674611	0.517252	0.646710	0.585342	0.127802	1.965641	1.301342	1.017480	1.066216	1.414214										
B09	Mm.14543	NM_010104	Edn1	Endothelin 1	ET-1/preproET	0.15	0.28	0.59	0.73	0.59	0.960764	0.342199	0.413481	0.236273	0.310913	0.901250	0.823591	0.666649	0.601860	0.664343										
B10	Mm.140619	NM_053207	Egln1	EGL nine homolog 1 (C. elegans)	AI503754/C1orf12/HIF-PH2/HPH-2/Hif-p4h-2/ORF13/Phd2/SM-20	-0.15	-0.36	-1.02	-0.08	-0.30	1.204087	0.280321	0.205487	0.099121	0.488902	1.111494	1.286989	2.024408	1.055188	1.233280										
B11	Mm.29978	NM_053208	Egln2	EGL nine homolog 2 (C. elegans)	0610011A13Rik/C85656/Hif-p4h-1/Ier4/Phd1/SM-20	-1.19	-0.54	-0.71	-0.65	-1.03	0.585228	0.357519	0.483942	0.510971	0.409909	2.277577	1.455990	1.635804	1.566451	2.045566										
B12	Mm.181959	NM_007913	Egr1	Early growth response 1	A530045N19Rik/ETR103/Egr-1/Krox-1/Krox-24/Krox24/NGF1-A/NGFI-A/NGFIA/TIS8/Zenk/Zfp-6/Zif268/egr	-1.19	-0.73	-1.20	-1.64	-1.28	0.899889	0.620524	1.093446	0.473498	0.313834	2.281527	1.658639	2.301381	3.116658	2.432601										
C01	Mm.6700	NM_007918	Eif4ebp1	Eukaryotic translation initiation factor 4E binding protein 1	4e-bp1/AA959816/PHAS-I	-0.28	-0.22	1.03	0.56	0.47	0.538052	0.299633	0.958658	0.417333	0.321079	1.209994	1.161509	0.490559	0.675955	0.720715										
C02	Mm.372389	NM_023119	Eno1	"Enolase 1, alpha non-neuron"	0610008I15/AL022784/Eno-1/MBP-1	-2.33	-3.60	-2.67	-3.10	-3.32	3.573163	0.205840	0.845794	0.595952	0.128323	5.036774	12.142554	6.386387	8.589059	9.986644										
C03	Mm.349116	NM_001312875	Epo	Erythropoietin	-	1.36	1.70	3.48	2.61	2.28	0.886134	0.256281	1.244186	1.054210	0.572560	0.388234	0.306934	0.089622	0.164083	0.205541										
C04	Mm.387108	NM_015774	Ero1l	ERO1-like (S. cerevisiae)	ERO1-L	-0.33	-0.53	-0.76	-0.11	-0.41	0.741097	0.265556	0.301386	0.145000	0.344915	1.254837	1.445932	1.699370	1.081100	1.333299										
C05	Mm.262589	NM_007972	F10	Coagulation factor X	Cf10/fX	0.02	0.09	0.95	0.47	0.59	1.150043	0.368483	0.642521	0.286167	0.393309	0.986233	0.942131	0.519430	0.723217	0.665495										
C06	Mm.273188	NM_010171	F3	Coagulation factor III	AA409063/CD142/Cf-3/Cf3/TF	-0.09	-0.28	-1.42	-1.54	-0.10	0.927110	0.357421	1.050789	0.887407	0.263739	1.064370	1.214195	2.671222	2.912988	1.073632										
C07	Mm.246513	NM_010234	Fos	FBJ osteosarcoma oncogene	D12Rfj1/c-fos/cFos	-1.31	-0.40	-0.66	-1.92	-1.09	0.986859	0.366087	0.999946	0.712384	0.156418	2.475123	1.317680	1.582823	3.790794	2.128740										
C08	Mm.396102	NM_028803	Gbe1	"Glucan (1,4-alpha-), branching enzyme 1"	2310045H19Rik/2810426P10Rik/D16Ertd536e	-0.27	-0.00	0.10	0.57	0.36	1.010709	0.326497	0.281351	0.310953	0.210000	1.205808	1.000000	0.934651	0.674785	0.781870										
C09	Mm.589	NM_008155	Gpi1	Glucose phosphate isomerase 1	Amf/Gpi/Gpi-1/Gpi-1r/Gpi-1s/Gpi-1t/Gpi1-r/Gpi1-s/Gpi1-t/Gpi1s/MF/NK/NK/GPI/Nlk/Org/Pgi/Phi	-2.18	-1.25	-2.50	-1.71	-1.74	1.195614	0.162080	0.307937	0.419245	1.168000	4.539395	2.375119	5.647060	3.260289	3.346145										
C10	Mm.275654	NM_030678	Gys1	"Glycogen synthase 1, muscle"	Gys3/MGS	-1.29	-0.41	0.80	-0.80	-0.86	0.583059	0.669425	0.724569	0.758216	0.809712	2.449522	1.325007	0.574349	1.738087	1.821340										
C11	Mm.3879	NM_001313919	Hif1a	"Hypoxia inducible factor 1, alpha subunit"	AA959795/HIF-1-alpha/HIF1-alpha/HIF1alpha/MOP1/bHLHe78	-0.58	-1.01	0.18	0.08	-0.35	1.053550	0.241599	0.871780	0.636082	0.566245	1.489677	2.016705	0.882703	0.946058	1.278986										
C12	Mm.145278	NM_176958	Hif1an	"Hypoxia-inducible factor 1, alpha subunit inhibitor"	2310046M24Rik/A830014H24Rik/FIH/FIH1	0.07	0.13	0.71	0.85	0.43	0.746190	0.293649	0.246897	0.352184	0.367741	0.952638	0.916369	0.610262	0.552865	0.744839										
D01	Mm.135110	NM_016868	Hif3a	"Hypoxia inducible factor 3, alpha subunit"	Ipas/MOP7/NEPAS/bHLHe17	-0.14	0.90	1.13	0.59	0.39	0.256304	0.365075	0.655356	1.147679	1.179011	1.099997	0.534403	0.457708	0.662044	0.763130										
D02	Mm.255848	NM_013820	Hk2	Hexokinase 2	AI642394/HKII	-0.36	0.30	-1.47	-0.97	0.07	0.826615	0.312602	1.104430	0.589880	0.423714	1.281204	0.813379	2.779836	1.962238	0.952638										
D03	Mm.276389	NM_010442	Hmox1	Heme oxygenase (decycling) 1	D8Wsu38e/HO-1/HO1/Hemox/Hmox/Hsp32	-0.17	0.01	0.49	0.44	0.30	1.269472	0.426181	0.486792	0.765985	0.221284	1.127010	0.995850	0.714497	0.737135	0.815072										
D04	Mm.202383	NM_008261	Hnf4a	"Hepatic nuclear factor 4, alpha"	HNF-4/Hnf4/Hnf4alpha/MODY1/Nr2a1/TCF-14/Tcf14	-1.19	-0.57	2.15	0.11	-0.37	0.340343	0.398472	1.487649	1.367805	0.319061	2.273634	1.480413	0.226095	0.928195	1.292353										
D05	Mm.25613	NM_133662	Ier3	Immediate early response 3	AI663993/IEX-1/cI-3/gly96	-1.20	-0.64	-0.62	-1.33	-1.08	0.666552	0.374126	0.499091	0.289885	0.558002	2.301381	1.556170	1.534214	2.505329	2.121375										
D06	Mm.29254	NM_008343	Igfbp3	Insulin-like growth factor binding protein 3	AI649005/IGFBP-3/IGgfbp3	-0.97	-1.26	-0.00	-0.16	-0.40	0.584886	0.144326	0.423832	0.587055	0.245679	1.955449	2.388326	1.003472	1.113422	1.317223										
D07	Mm.481684	NM_033398	Jmjd6	Jumonji domain containing 6	5730436I23Rik/D11Ertd195e/PSR/PtdSerR/Ptdsr/mKIAA0585	-0.84	-0.18	0.06	-0.48	-0.67	0.430920	0.354359	0.407185	0.758002	0.518781	1.786951	1.131314	0.959264	1.389918	1.591073										
D08	Mm.29324	NM_010699	Ldha	Lactate dehydrogenase A	Ldh1/Ldhm/l7R2	-4.24	-4.13	-3.23	-3.58	-3.71	0.525888	0.179304	0.498264	0.575464	0.219773	18.928655	17.508699	9.382680	11.979535	13.131866										
D09	Mm.248615	NM_010705	Lgals3	"Lectin, galactose binding, soluble 3"	GBP/L-34/Mac-2/gal3	-0.80	-0.51	-0.77	-1.11	-0.45	0.888613	0.175869	0.549447	0.354154	0.305437	1.747146	1.420107	1.702317	2.162200	1.368409										
D10	Mm.172	NM_010728	Lox	Lysyl oxidase	AI893619/TSC-160/rrg	-0.80	-0.57	-1.12	-0.12	-0.03	0.882156	0.201866	0.798013	0.288329	0.340037	1.741101	1.484524	2.177239	1.086735	1.019244										
D11	Mm.15918	NM_011945	Map3k1	Mitogen-activated protein kinase kinase kinase 1	MAPKKK1/MEKK1/Mekk	0.56	0.06	1.01	1.20	0.90	1.120219	0.292181	0.938527	0.236643	0.283358	0.677128	0.957935	0.498270	0.435275	0.534959										
D12	Mm.86844	NM_008591	Met	Met proto-oncogene	AI838057/HGF/HGFR/Par4/c-Met	-0.91	-0.54	1.38	0.43	-0.15	0.888088	0.382296	0.912780	1.128225	0.549507	1.872544	1.453973	0.385553	0.740977	1.111494										
E01	Mm.2326	NM_010798	Mif	Macrophage migration inhibitory factor	GIF/Glif	-3.56	-2.94	-2.27	-2.92	-3.03	0.522071	0.223450	0.461835	0.533565	0.233880	11.773734	7.695420	4.814881	7.555357	8.196455										
E02	Mm.4406	NM_013599	Mmp9	Matrix metallopeptidase 9	AW743869/B/MMP9/Clg4b/MMP-9/pro-MMP-9	-1.31	-0.54	0.36	-0.52	-1.12	0.889021	0.301496	1.458241	0.803575	0.405380	2.475123	1.453973	0.779165	1.433955	2.173470										
E03	Mm.2154	NM_010847	Mxi1	Max interacting protein 1	ENSMUSG00000067085/Gm10197/Mad2/bHLHc11	-0.46	-0.15	0.16	0.37	-0.08	0.802179	0.304992	0.270231	0.388587	0.342576	1.373160	1.111109	0.896577	0.773782	1.055188										
E04	Mm.202727	NM_021524	Nampt	Nicotinamide phosphoribosyltransferase	1110035O14Rik/AI314458/AI480535/NAmPRTase/Pbef/Pbef1/Visfatin	-1.09	-1.46	-2.07	-1.41	-1.49	0.762146	0.194294	0.427736	0.529748	0.803451	2.128740	2.751084	4.191597	2.648178	2.808890										
E05	Mm.301039	NM_010881	Ncoa1	Nuclear receptor coactivator 1	KAT13A/SRC-1/SRC1/bHLHe74	-0.36	-0.78	0.25	0.54	0.03	0.349893	0.406903	0.289713	0.471416	0.193628	1.281204	1.719513	0.840896	0.685391	0.977725										
E06	Mm.30837	NM_008681	Ndrg1	N-myc downstream regulated gene 1	CAP43/CMT4D/DRG1/HMSNL/NMSL/Ndr1/Ndrl/PROXY1/RTP/TDD5	-0.61	-0.11	-0.38	0.43	0.07	0.797804	0.310290	0.668300	0.427112	0.303590	1.528906	1.082225	1.303599	0.740977	0.955945										
E07	Mm.256765	NM_008689	Nfkb1	"Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1, p105"	NF-KB1/NF-kappaB/NF-kappaB1/p105/p50/p50/p105	-0.58	-0.19	-0.66	-0.41	-0.75	1.013657	0.417696	0.401113	0.246103	0.367423	1.489677	1.142346	1.582823	1.333299	1.681793										
E08	Mm.258415	NM_008713	Nos3	"Nitric oxide synthase 3, endothelial cell"	2310065A03Rik/Nos-3/eNOS/ecNOS	-0.36	0.29	1.17	0.50	0.13	0.690766	0.442979	0.620235	0.729492	0.574833	1.281204	0.815637	0.445192	0.708333	0.917004										
E09	Mm.34102	NM_013614	Odc1	"Ornithine decarboxylase, structural 1"	ODC	-2.39	-2.02	-1.69	-2.09	-1.98	0.929386	0.150067	0.903009	0.138924	0.302435	5.232499	4.050219	3.232163	4.242751	3.944931										
E10	Mm.2212	NM_011030	P4ha1	"Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide"	AL022634/P4ha	-0.62	-0.84	-1.19	-0.44	-0.72	0.159478	0.143283	0.584865	0.203695	0.331801	1.531558	1.795020	2.281527	1.358957	1.650039										
E11	Mm.16660	NM_011032	P4hb	"Prolyl 4-hydroxylase, beta polypeptide"	ERp59/PDI/Pdia1/Thbp	-1.27	-0.31	-1.64	-1.36	-1.65	1.098859	0.525576	0.529300	0.233809	0.812076	2.407440	1.236275	3.122064	2.566852	3.138336										
E12	Mm.34411	NM_172665	Pdk1	"Pyruvate dehydrogenase kinase, isoenzyme 1"	B830012B01/D530020C15Rik	-0.45	-0.64	0.96	0.08	-0.14	0.801270	0.346800	0.889058	0.708020	0.663042	1.361314	1.560491	0.514948	0.947698	1.099997										
F01	Mm.7373	NM_011065	Per1	Period homolog 1 (Drosophila)	Per/m-rigui/mPer1	-0.95	-0.00	-1.86	-0.97	-0.76	0.638801	0.221856	0.950316	0.285248	0.131403	1.931873	1.001387	3.642679	1.952064	1.693491										
F02	Mm.19669	NM_133232	Pfkfb3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	E330010H22Rik/iPFK-2/uPFK-2	-0.24	0.46	1.85	0.57	0.61	1.162537	0.546425	0.591742	0.758480	0.266130	1.183041	0.729005	0.276912	0.674785	0.656333										
F03	Mm.132391	NM_173019	Pfkfb4	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"	C230090D14	-0.95	0.04	0.02	-0.36	-0.36	0.627767	0.409634	0.267379	0.574224	0.270370	1.935223	0.972655	0.984525	1.283426	1.287882										
F04	Mm.269649	NM_008826	Pfkl	"Phosphofructokinase, liver, B-type"	AA407869/ATP-PFK/PFK-L	-1.01	-0.36	-0.58	-0.60	-0.64	0.602827	0.418091	0.187328	0.298329	0.155991	2.013911	1.283426	1.497442	1.515717	1.558329										
F05	Mm.273874	NM_019703	Pfkp	"Phosphofructokinase, platelet"	1200015H23Rik/9330125N24Rik/ATP-PFK/PFK-C/PFK-P	-1.27	-0.41	-0.67	-0.71	-0.89	1.033904	1.545390	0.418011	0.406694	0.382045	2.415798	1.325007	1.591073	1.635804	1.849968										
F06	Mm.16783	NM_023418	Pgam1	Phosphoglycerate mutase 1	2310050F24Rik/Pgam-1	-2.95	-2.53	-2.03	-2.29	-2.59	0.687914	0.280767	0.581514	0.649173	0.331197	7.714112	5.791753	4.076978	4.899043	6.031430										
F07	Mm.4809	NM_008827	Pgf	Placental growth factor	AI854365/PIGF/Plgf	-0.98	-0.01	1.44	0.05	-0.14	0.849171	0.222711	1.175936	0.398529	0.591460	1.969050	1.006956	0.367929	0.967612	1.099997										
F08	Mm.316355	NM_008828	Pgk1	Phosphoglycerate kinase 1	Pgk-1	-2.21	-2.00	-2.55	-1.93	-1.70	0.789282	0.203470	0.545733	0.208247	0.265754	4.642816	4.000000	5.846203	3.797368	3.243384										
F09	Mm.405293	NM_008842	Pim1	Proviral integration site 1	Pim-1	-0.65	-0.63	-1.88	-1.61	-0.62	0.499366	0.324838	0.607618	0.688156	0.295409	1.563739	1.549712	3.680751	3.057813	1.536875										
F10	Mm.326167	NM_011099	Pkm	"Pyruvate kinase, muscle"	AA414905/AL024370/AL024424/Pk-2/Pk-3/Pk3/Pkm2	-1.63	-0.89	-2.20	-1.63	-1.63	1.086658	0.369770	0.453505	0.590169	0.776375	3.100498	1.858321	4.594793	3.084422	3.100498										
F11	Mm.4183	NM_008873	Plau	"Plasminogen activator, urokinase"	u-PA/uPA	1.04	1.18	2.59	1.82	1.99	0.705549	0.270148	0.694286	0.173781	0.334303	0.486327	0.442577	0.166662	0.283221	0.251303										
F12	Mm.209292	NM_009035	Rbpj	Recombination signal binding protein for immunoglobulin kappa J region	AI843960/CBF1/Igkjrb/Igkrsbp/RBP-J/RBP-J kappa/RBP-Jkappa/RBPjk/Rbpsuh	-2.16	-2.10	-0.42	-1.43	-1.95	0.670441	0.214523	1.404383	0.696198	0.314470	4.461411	4.281155	1.340248	2.699140	3.857056										
G01	Mm.34410	NM_011304	Ruvbl2	RuvB-like protein 2	mp47/p47	-0.91	0.21	-0.19	-0.46	-0.72	0.433388	0.504083	0.259294	0.509469	0.174428	1.882304	0.864537	1.144724	1.377928	1.650039										
G02	Mm.250422	NM_008871	Serpine1	"Serine (or cysteine) peptidase inhibitor, clade E, member 1"	PAI-1/PAI1/Planh1	0.34	0.07	-0.56	-0.01	0.16	0.830316	0.349600	0.568595	0.560022	0.270355	0.791412	0.951318	1.479388	1.005212	0.896577										
G03	Mm.28632	NM_030696	Slc16a3	"Solute carrier family 16 (monocarboxylic acid transporters), member 3"	Mct3/Mct4	-0.99	-0.20	1.15	-0.15	-0.26	0.460968	0.447828	1.043979	0.557397	0.623612	1.989630	1.148698	0.449845	1.107648	1.199556										
G04	Mm.21002	NM_011400	Slc2a1	"Solute carrier family 2 (facilitated glucose transporter), member 1"	Glut-1/Glut1	-0.64	0.03	0.52	-0.29	-0.22	0.666102	0.438098	0.616901	0.538106	0.334166	1.561032	0.982140	0.699793	1.224761	1.164734										
G05	Mm.395108	NM_011401	Slc2a3	"Solute carrier family 2 (facilitated glucose transporter), member 3"	AA408729/AL023014/AL024341/AU040424/C78366/Glut-3/Glut3	0.67	1.26	2.26	1.41	1.24	0.845355	0.318072	1.099530	0.410802	0.494865	0.627419	0.418123	0.209497	0.375660	0.424107										
G06	Mm.28683	NM_011638	Tfrc	Transferrin receptor	2610028K12Rik/CD71/E430033M20Rik/Mtvr1/TFR/TFR1/TR/Trfr/p90	-0.90	-0.84	0.54	-0.04	-0.83	0.705000	0.180000	0.707413	0.606541	0.290215	1.862835	1.790050	0.690159	1.026334	1.774608										
G07	Mm.4222	NM_009415	Tpi1	Triosephosphate isomerase 1	AI255506/Tpi/Tpi-1	-1.88	-1.39	-1.00	-1.16	-1.43	0.534813	0.334784	0.413038	0.427317	0.310524	3.687134	2.613531	2.000000	2.234574	2.699140										
G08	Mm.222	NM_011640	Trp53	Transformation related protein 53	Tp53/bbl/bfy/bhy/p44/p53	0.99	0.65	-0.15	1.05	1.49	1.013640	0.504777	0.775516	0.482044	0.415411	0.503478	0.637280	1.107648	0.481297	0.357249										
G09	Mm.410189	NM_023719	Txnip	Thioredoxin interacting protein	1200008J08Rik/AA682105/Hyplip1/THIF/Tbp-2/VDUP1	-2.13	-1.98	-4.86	-2.86	-2.39	1.673489	0.923428	0.849686	1.241890	1.348292	4.392371	3.939466	29.141435	7.247583	5.250664										
G10	Mm.322453	NM_011680	Usf2	Upstream transcription factor 2	Usf-2/bHLHb12	0.87	0.96	1.19	1.86	1.24	1.030437	0.254794	1.177579	0.532252	0.719508	0.547147	0.513345	0.437544	0.275954	0.422640										
G11	Mm.3555	NM_011694	Vdac1	Voltage-dependent anion channel 1	AL033343/Vdac5/mVDAC1/mVDAC5	-1.15	-0.06	-2.24	-1.59	-0.85	1.123996	0.444106	0.872215	0.867429	0.226642	2.211461	1.045360	4.732164	3.000078	1.808759										
G12	Mm.282184	NM_009505	Vegfa	Vascular endothelial growth factor A	Vegf/Vpf	-0.86	-0.88	-4.58	-2.72	-2.00	0.806655	1.563579	1.473146	1.427851	0.389989	1.818186	1.835280	23.959070	6.600155	3.993075										
H01	Mm.328431	NM_007393	Actb	"Actin, beta"	Actx/E430023M04Rik/beta-actin	-4.89	-4.87	-6.91	-5.72	-5.51	2.168848	0.983224	0.374288	1.156518	2.028569	29.548234	29.323797	120.467485	52.709825	45.490709										
H02	Mm.163	NM_009735	B2m	Beta-2 microglobulin	Ly-m11/beta2-m/beta2m	-3.48	-4.48	-6.65	-6.13	-5.83	2.182583	1.268038	0.881155	1.254123	2.346352	11.157949	22.284984	100.775421	70.156263	57.083425										
H03	Mm.309092	NM_008084	Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	Gapd	-6.57	-6.09	-4.12	-5.76	-6.05	0.760241	0.186896	1.134578	0.842511	0.344517	94.680801	67.931085	17.387758	54.097874	66.371869										
H04	Mm.3317	NM_010368	Gusb	"Glucuronidase, beta"	AI747421/Gur/Gus/Gus-r/Gus-s/Gus-t/Gus-u/Gut/asd/g	-0.00	0.00	0.00	-0.00	0.00	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000										
H05	Mm.2180	NM_008302	Hsp90ab1	"Heat shock protein 90 alpha (cytosolic), class B member 1"	90kDa/AL022974/C81438/Hsp84/Hsp84-1/Hsp90/Hspcb	-3.52	-2.81	-5.23	-3.71	-3.67	1.560777	0.333242	0.582666	0.619919	1.242122	11.451780	7.012846	37.661016	13.041157	12.728584										
